First Name,Surname,Team,Pos,£Start,£End,Total Points,Points Per Game,Transfers In,Transfers Out,Season Value,Minutes,Goals,Assists,Clean Sheets,Goals Conceded,Own Goals,Penalties Saved,Penalties Missed,Yellow Cards,Red Cards,Saves,Bonus Points,BPS,Influence,Creativity,Threat,ICT Index,Influence Rank,Creativity Rank,Threat Rank,ICT Index Rank
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin,De Bruyne,MCI,MID,9.5,10.6,251,7.2,6122288,4010477,23.7,2790,13,23,18,22,0,0,0,3,0,0,35,988,1322,1991,1005,432,1,1,27,1
Tammy,Abraham,CHE,FWD,7,7.3,153,4.5,5791038,5254123,21,2206,15,6,7,34,1,0,0,2,0,0,20,461,660,283,1301,223,58,150,10,28
Jamie,Vardy,LEI,FWD,9,9.7,210,6,5467849,4430099,21.6,3032,23,7,11,38,0,0,1,3,0,0,34,775,1026,418,1455,289,5,94,8,9
Raúl,Jiménez,WOL,FWD,7.5,8,194,5.1,4677222,3995389,24.2,3241,17,7,15,36,0,0,0,3,0,0,33,685,912,668,1680,325,15,27,3,4
Danny,Ings,SOT,FWD,6,7.6,198,5.2,4571871,2485698,26.1,2800,22,2,6,44,0,0,1,3,0,0,40,736,1010,458,1558,302,8,69,6,7
Sadio,Mané,LIV,MID,11.5,12.1,221,6.3,4436506,4215381,18.3,2745,18,10,12,28,0,0,0,3,0,0,27,689,1010,827,1239,308,7,15,14,5
Anthony,Martial,MUN,MID,7.5,8.5,200,6.2,4341987,3179579,23.5,2625,17,9,14,27,0,0,1,1,0,0,14,544,856,439,1297,259,22,80,11,16
Mason,Mount,CHE,MID,6,6,137,3.7,4341891,3712179,22.8,2865,7,6,9,44,0,0,0,3,0,0,11,510,641,814,974,243,65,17,28,20
Marcus,Rashford,MUN,FWD,8.5,8.9,177,5.7,4296358,4395817,19.9,2645,17,8,9,29,0,0,2,3,0,0,31,665,887,564,1265,272,19,40,13,15
John,Lundstram,SHU,DEF,4,4.6,144,4.2,4253643,2889148,31.3,2452,5,4,10,29,0,0,0,5,0,0,15,539,503,383,449,134,134,106,82,88
Teemu,Pukki,NOR,FWD,6.5,6.4,139,3.9,3977330,3753468,21.7,2884,11,3,6,59,0,0,0,3,0,0,21,444,545,380,1202,212,108,107,16,31
Todd,Cantwell,NOR,MID,4.5,4.5,111,3,3957013,3213559,24.7,2484,6,2,6,54,0,0,0,6,0,0,10,410,516,493,656,166,127,56,50,56
Pierre-Emerick,Aubameyang,ARS,FWD,11,10.9,205,5.7,3870546,4120318,18.8,3136,22,5,10,44,0,0,0,3,1,0,37,807,1006,480,1369,285,9,61,9,11
Mohamed,Salah,LIV,MID,12.5,12.5,233,6.9,3849393,4429958,18.6,2879,19,10,16,26,0,0,0,1,0,0,26,661,1061,835,2156,405,3,14,1,2
Heung-Min,Son,SPU,MID,9.5,9.7,169,5.6,3782131,3412666,17.4,2478,11,13,7,32,0,0,1,0,2,0,18,544,801,606,1144,255,32,32,18,18
Jack,Grealish,AVL,MID,6,5.9,149,4.1,3451403,2863872,25.3,3233,8,7,7,63,0,0,1,8,0,0,19,601,827,1209,837,287,28,4,37,10
Sergio,Agüero,MCI,FWD,12,11.6,132,5.5,3383429,3973926,11.4,1449,16,6,5,18,0,0,1,1,0,0,14,509,641,256,1188,208,66,163,17,33
James,Maddison,LEI,MID,7,7.3,125,4,3228528,3139013,17.1,2624,6,5,10,26,0,0,0,4,0,0,14,548,642,1246,702,259,63,3,46,17
Adama,Traoré,WOL,MID,5,5.6,130,3.5,3191443,2346310,23.2,2599,4,9,7,33,0,0,0,1,0,0,14,522,727,786,583,210,47,20,63,32
Mason,Greenwood,MUN,FWD,4.5,4.8,103,3.3,3138405,2256657,21.5,1303,10,1,6,13,0,0,0,0,0,0,17,430,450,223,502,117,157,184,74,115
Trent,Alexander-Arnold,LIV,DEF,7,7.7,210,5.5,3086983,2030884,27.3,3173,4,15,14,32,0,0,0,5,0,0,24,904,1027,1380,420,283,4,2,93,12
Raheem,Sterling,MCI,MID,12,12,204,6.2,3032220,3657073,17,2651,20,6,13,31,0,0,2,5,0,0,20,642,922,751,1829,350,13,23,2,3
Bruno Miguel,Borges Fernandes,MUN,MID,8,9,117,8.4,2639175,536915,13,1187,8,8,9,6,0,0,0,2,0,0,18,366,552,479,361,139,102,62,107,82
Riyad,Mahrez,MCI,MID,8.5,8.6,175,5.3,2614566,2151163,20.3,1934,11,14,10,15,0,0,0,0,0,0,17,668,814,886,1094,280,31,13,22,14
Çağlar,Söyüncü,LEI,DEF,4.5,4.9,120,3.5,2532029,2006764,24.5,3036,1,1,12,35,0,0,0,4,1,0,12,681,756,79,238,108,37,298,169,133
Richarlison,de Andrade,EVE,MID,8,8.2,165,4.6,2397993,2404156,20.1,3070,13,5,9,51,0,0,0,8,0,0,13,519,815,478,1233,252,30,63,15,19
Nick,Pope,BUR,GKP,4.5,5.2,170,4.5,2393185,1209353,32.7,3420,0,0,15,50,0,1,0,1,0,120,23,789,900,30,2,93,18,376,447,168
Christian,Pulisic,CHE,MID,7.5,7.4,127,5.1,2342711,2030262,17.2,1717,9,8,6,28,0,0,0,0,0,0,8,379,556,426,1059,204,98,87,25,37
Harry,Kane,SPU,FWD,11,11,158,5.4,2319478,3350838,14.4,2588,18,2,6,36,0,0,0,4,0,0,26,587,844,391,1071,231,24,103,23,26
Roberto,Firmino,LIV,FWD,9.5,9.3,155,4.1,2182653,2310943,16.7,2985,9,9,16,26,0,0,0,0,0,0,20,592,734,703,1638,308,45,26,4,6
